City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,zhanaozen,43.3,52.8,-2.74,92,99,6.22,KZ,1702264849
154,coquimbo,-29.9533,-71.3436,14.85,88,0,0.0,CL,1702264718
155,kalianget,-7.05,113.9333,29.06,69,100,0.7,ID,1702264849
156,jamestown,42.097,-79.2353,3.08,92,100,4.12,US,1702264771
157,mahina,-17.5065,-149.489,30.87,58,40,1.54,PF,1702264849
158,gaspe,48.8334,-64.4819,3.95,100,100,1.54,CA,1702264849
159,prince rupert,54.3161,-130.3201,4.83,95,0,5.66,CA,1702264850
160,capitan bado,-23.2667,-55.5333,18.78,97,99,1.89,PY,1702264850
161,yonggang-up,38.8561,125.4244,4.04,91,100,6.24,KP,1702264850
162,christchurch,-43.5333,172.6333,23.63,50,6,8.75,NZ,1702264560
163,kill devil hills,36.0307,-75.676,17.21,96,100,12.03,US,1702264739
164,mili,6.0815,171.735,27.39,84,100,8.35,MH,1702264850
165,chapeco,-27.0964,-52.6183,19.86,100,40,1.54,BR,1702264850
166,tamiahua,21.2667,-97.45,17.72,54,92,3.22,MX,1702264850
167,igrim,63.1906,64.4162,-33.05,98,17,2.1,RU,1702264850
168,kodinar,20.7903,70.7031,22.25,48,5,2.85,IN,1702264850
169,fada,9.5667,8.3,18.66,24,0,3.01,NG,1702264850
170,haiku-pauwela,20.9219,-156.3051,27.01,73,40,7.72,US,1702264851
171,sao fidelis,-21.6461,-41.7469,21.96,86,100,0.42,BR,1702264851
172,praia,14.9215,-23.5087,21.3,68,20,2.06,CV,1702264851
173,hun,29.1268,15.9477,11.89,79,6,5.37,LY,1702264851
174,sao joao da barra,-21.6403,-41.0511,23.04,82,86,2.98,BR,1702264851
175,polyarnyy,69.1989,33.4478,-13.57,91,84,6.94,RU,1702264851
176,saint croix,17.7397,-64.7388,26.25,76,0,5.14,VI,1702264851
177,richland center,43.3347,-90.3868,-1.87,79,6,1.42,US,1702264851
178,delhi hills,39.0928,-84.6127,0.86,81,100,5.14,US,1702264851
179,urangan,-25.3,152.9,27.33,68,99,3.13,AU,1702264851
180,mitu,1.1983,-70.1733,22.51,98,23,1.07,CO,1702264851
181,brookings,44.3114,-96.7984,-6.64,92,0,4.12,US,1702264665
182,yaritagua,10.08,-69.1261,21.41,97,27,1.19,VE,1702264852
183,queenstown,-31.8976,26.8753,11.31,92,100,1.44,ZA,1702264852
184,hamilton,39.1834,-84.5333,1.43,82,100,5.14,US,1702264852
185,margaret river,-33.95,115.0667,25.26,31,0,2.43,AU,1702264852
186,kanda,33.7833,130.9833,15.14,94,75,7.72,JP,1702264852
187,panaba,21.2833,-88.2667,22.48,86,100,4.05,MX,1702264852
188,quellon,-43.1167,-73.6167,10.91,92,97,1.21,CL,1702264852
189,lihue,21.9789,-159.3672,25.2,83,75,4.12,US,1702264852
190,orkney,-26.9802,26.6727,17.48,77,100,4.36,ZA,1702264852
191,ghanzi,-21.5667,21.7833,18.49,89,32,3.55,BW,1702264852
192,tofol,5.3248,163.0078,28.88,74,75,4.12,FM,1702264853
193,lethbridge,49.7,-112.8186,4.06,65,40,9.26,CA,1702264593
194,fale old settlement,-9.3852,-171.2468,28.51,79,97,7.67,TK,1702264853
195,praya,14.9215,-23.5087,21.3,68,20,2.06,CV,1702264575
196,cestos city,5.46,-9.5828,26.57,84,37,2.49,LR,1702264853
197,ondjiva,-17.0667,15.7333,22.06,32,97,2.45,AO,1702264853
198,penhalonga,-18.8911,32.6978,17.02,98,76,1.83,ZW,1702264853
199,vernon,50.2581,-119.2691,4.61,91,100,0.51,CA,1702264770
200,avarua,-21.2078,-159.775,26.03,83,100,10.8,CK,1702264853
201,crane,31.3974,-102.3501,8.74,23,0,2.55,US,1702264853
202,itri,41.2892,13.5264,9.69,64,74,0.74,IT,1702264853
203,uturoa,-16.7333,-151.4333,26.96,80,22,10.42,PF,1702264853
204,terrace,54.5163,-128.6035,1.23,100,100,1.54,CA,1702264853
205,tanjung pandan,-2.75,107.65,28.35,75,90,2.64,ID,1702264854
206,carnarvon,-24.8667,113.6333,31.71,26,0,6.34,AU,1702264854
207,alexandria,31.2156,29.9553,16.55,50,99,2.44,EG,1702264854
208,rio do sul,-27.2142,-49.6431,19.66,100,100,0.06,BR,1702264796
209,charters towers,-20.1,146.2667,25.1,60,100,5.16,AU,1702264854
210,korwai,24.1167,78.0419,17.46,54,0,1.17,IN,1702264854
211,college,64.8569,-147.8028,-16.72,76,100,4.12,US,1702264752
212,utrik,11.2278,169.8474,27.21,77,87,8.64,MH,1702264854
213,nantucket,41.2835,-70.0995,14.08,100,75,7.72,US,1702264599
214,ola,59.5833,151.2833,-3.25,79,100,9.66,RU,1702264854
215,ajaccio,42.0,8.9167,8.03,81,75,2.06,FR,1702264762
216,sabang,5.8933,95.3214,27.52,75,75,1.06,ID,1702264854
217,namie,37.4833,141.0,12.21,68,100,3.35,JP,1702264855
218,mahibadhoo,3.7833,72.9667,28.45,75,96,3.52,MV,1702264855
219,zaragoza,41.6561,-0.8773,15.25,72,0,8.75,ES,1702264762
220,palu,-0.8917,119.8707,29.81,73,94,2.14,ID,1702264855
221,hassi messaoud,31.6804,6.0729,12.53,47,78,3.86,DZ,1702264855
222,aasiaat,68.7098,-52.8699,-2.88,87,100,5.83,GL,1702264855
